name,twitter_handle,isin
Anglo American PLC,AngloAmerican,GB00B1XZS820
Associated British Foods PLC,ABFIngredients,GB0006731235
Associated British Foods PLC,ABFGroceryGrads,GB0006731235
Admiral Group PLC,AdmiralGroup,GB00B02J6398
Admiral Group PLC,AdmiralUK,GB00B02J6398
Ashtead Group PLC,Ashtead_Group,GB0000536739
Antofagasta PLC,AntofagastaPLC,GB0000456144
Auto Trader Group PLC,AutoTrader_UK,GB00BVYVFW23
Aviva PLC,avivaplc,GB0002162385
Aviva PLC,AvivaUK,GB0002162385
AVEVA Group PLC,AVEVAGroup,GB00BBG9VN75
AstraZeneca PLC,AstraZeneca,GB0009895292
BAE Systems PLC,BAESystemsplc,GB0002634946
Barclays PLC,Barclays,GB0031348658
British American Tobacco PLC,BATPress,GB0002875804
Barratt Developments PLC,Barrattplc,GB0000811801
Barratt Developments PLC,BarrattHomes,GB0000811801
Barratt Developments PLC,Barratt_Homes,GB0000811801
BHP Group PLC,bhp,GB00BH0P3Z91
BHP Group PLC,bhpbilliton,GB00BH0P3Z91
BHP Group PLC,BHPGroup,GB00BH0P3Z91
Berkeley Group Holdings PLC,BerkeleyGroupUK,GB00B02L3W35
British Land Co PLC/The,BritishLandPLC,GB0001367019
Bunzl PLC,BunzlDist,GB00B0744B38
Bunzl PLC,BunzlPlc,GB00B0744B38
BP PLC,BP_plc,GB0007980591
BP PLC,BP_UK,GB0007980591
Burberry Group PLC,BurberryCorp,GB0031743007
Burberry Group PLC,Burberry,GB0031743007
BT Group PLC,BTGroup,GB0030913577
BT Group PLC,bt_uk,GB0030913577
Coca-Cola HBC AG,CocaCola,CH0198251305
Carnival PLC,CarnivalPLC,GB0031215220
Centrica PLC,centricaplc,GB00B033F229
Compass Group PLC,compassgroupuk,GB00BD6K4575
Croda International PLC,CrodaPlc,GB00BJFFLV09
Croda International PLC,CrodaInc,GB00BJFFLV09
CRH PLC,crhcf513,IE0001827041
DCC PLC,,IE0002424939
Diageo PLC,Diageo_News,GB0002374006
Diageo PLC,DiageoGB,GB0002374006
Evraz PLC,evrazna,GB00B71N6K86
Experian PLC,Experian,GB00B19NLV48
Ferguson PLC,Ferguson_plc,JE00BJVNSS43
Flutter Entertainment PLC,PPBetfair,IE00BWT6H894
Flutter Entertainment PLC,FlutterPLC,IE00BWT6H894
Flutter Entertainment PLC,paddypower,IE00BWT6H894
Fresnillo PLC,FresnilloUK,GB00B2QPKJ12
Fresnillo PLC,plcFresnillo,GB00B2QPKJ12
Glencore PLC,Glencore,JE00B4T3BW64
GlaxoSmithKline PLC,GSK,GB0009252882
Hikma Pharmaceuticals PLC,hikmapharma,GB00B0LCW083
Hargreaves Lansdown PLC,HLInvest,GB00B1VZ0M25
Halma PLC,Halmaplc,GB0004052071
HSBC Holdings PLC,HSBC,GB0005405286
HSBC Holdings PLC,HSBC_UK,GB0005405286
Hiscox Ltd,HiscoxUK,BMG4593F1389
International Consolidated Airlines Group SA,#iag,ES0177542018
InterContinental Hotels Group PLC,IHG,GB00BHJYC057
InterContinental Hotels Group PLC,IHGCorporate,GB00BHJYC057
InterContinental Hotels Group PLC,InterConHotels,GB00BHJYC057
InterContinental Hotels Group PLC,IHGService,GB00BHJYC057
3i Group PLC,3iplc,GB00B1YW4409
Imperial Brands PLC,ImperialBrands,GB0004544929
Imperial Brands PLC,ImpTobUK,GB0004544929
Informa PLC,InformaPLC,GB00BMJ6DW54
Intertek Group PLC,Intertek,GB0031638363
Intertek Group PLC,Intertek_OCA,GB0031638363
ITV PLC,ITV,GB0033986497
